season,wins,draws,losses,points
1005,14,5,15,47
1006,14,8,12,50
1007,15,8,11,53
1008,17,6,11,57
1009,19,6,9,63
1010,15,8,11,53
1011,22,8,4,74
1012,22,4,8,70
1013,16,5,13,53
1014,18,8,8,62
1015,18,4,12,58
1016,15,8,11,53
1017,19,6,9,63
1018,17,7,10,58
1019,11,9,14,42
1020,14,8,12,50
1021,14,9,11,51
1022,13,7,14,46
1023,14,10,10,52
1024,12,8,14,44
1025,17,6,11,57
1026,16,8,10,56
1027,16,5,13,53
1028,21,3,10,66
1029,20,5,9,65
1030,16,4,14,52
1031,15,6,13,51
1032,18,8,8,62
1033,12,11,11,47
1034,19,10,5,67
1035,14,6,14,48
1036,14,5,15,47
1037,19,4,11,61
1038,15,8,11,53
1039,14,10,10,52
1040,20,4,10,64
1041,15,7,12,52
1042,19,6,9,63
1043,14,12,8,54
1044,19,9,6,66
1045,17,7,10,58
1046,15,5,14,50
1047,17,6,11,57
1048,17,6,11,57
1049,9,8,17,35
1050,19,6,9,63
1051,13,10,11,49
1052,13,4,17,43
1053,17,10,7,61
1054,19,6,9,63
1055,17,5,12,56
1056,18,3,13,57
1057,12,11,11,47
1058,15,9,10,54
1059,15,9,10,54
1060,19,7,8,64
1061,18,4,12,58
1062,19,6,9,63
1063,13,7,14,46
1064,19,7,8,64
1065,21,5,8,68
1066,21,5,8,68
1067,14,9,11,51
1068,16,6,12,54
1069,14,9,11,51
1070,16,7,11,55
1071,15,7,12,52
1072,16,6,12,54
1073,12,8,14,44
1074,13,7,14,46
1075,17,7,10,58
1076,11,13,10,46
1077,16,8,10,56
1078,12,8,14,44
1079,16,9,9,57
1080,17,6,11,57
1081,14,6,14,48
1082,17,5,12,56
1083,19,11,4,68
1084,14,9,11,51
1085,14,12,8,54
1086,15,9,10,54
1087,18,6,10,60
1088,21,6,7,69
1089,17,9,8,60
1090,17,7,10,58
1091,16,9,9,57
1092,15,6,13,51
1093,16,8,10,56
1094,16,10,8,58
1095,13,9,12,48
1096,18,6,10,60
1097,18,5,11,59
1098,13,5,16,44
1099,16,5,13,53
1100,19,5,10,62
1101,18,6,10,60
1102,19,9,6,66
1103,22,4,8,70
1104,19,7,8,64
1105,19,6,9,63
1106,12,8,14,44
1107,17,6,11,57
1108,16,10,8,58
1109,16,8,10,56
1110,14,6,14,48
1111,16,8,10,56
1112,16,8,10,56
1113,19,6,9,63
1114,11,10,13,43
1115,15,5,14,50
1116,13,5,16,44
1117,14,12,8,54
1118,18,9,7,63
1119,17,6,11,57
1120,16,6,12,54
1121,15,9,10,54
1122,16,6,12,54
1123,15,11,8,56
1124,18,7,9,61
1125,16,6,12,54
1126,14,7,13,49
1127,21,7,6,70
1128,20,6,8,66
1129,17,6,11,57
1130,14,8,12,50
1131,17,10,7,61
1132,20,7,7,67
1133,18,6,10,60
1134,16,5,13,53
1135,18,6,10,60
1136,18,7,9,61
1137,18,6,10,60
1138,17,9,8,60
1139,14,10,10,52
1140,12,9,13,45
1141,18,6,10,60
1142,17,6,11,57
1143,13,8,13,47
1144,14,9,11,51
1145,16,7,11,55
1146,19,3,12,60
1147,14,9,11,51
1148,20,4,10,64
1149,19,9,6,66
1150,17,5,12,56
1151,15,11,8,56
1152,15,9,10,54
1153,18,10,6,64
1154,17,9,8,60
1155,21,5,8,68
1156,19,5,10,62
1157,21,4,9,67
1158,17,7,10,58
1159,16,7,11,55
1160,14,6,14,48
1161,19,9,6,66
1162,17,8,9,59
1163,19,8,7,65
1164,13,8,13,47
1165,19,5,10,62
1166,13,9,12,48
1167,16,9,9,57
1168,14,12,8,54
1169,21,5,8,68
1170,14,7,13,49
1171,17,6,11,57
1172,18,9,7,63
1173,18,11,5,65
1174,17,6,11,57
1175,16,6,12,54
1176,20,4,10,64
1177,16,6,12,54
1178,13,9,12,48
1179,15,8,11,53
1180,19,3,12,60
1181,19,6,9,63
1182,19,5,10,62
1183,17,9,8,60
1184,16,5,13,53
1185,20,4,10,64
1186,13,7,14,46
1187,21,4,9,67
1188,14,7,13,49
1189,17,4,13,55
1190,15,9,10,54
1191,20,7,7,67
1192,17,8,9,59
1193,13,10,11,49
1194,16,5,13,53
1195,15,8,11,53
1196,17,7,10,58
1197,21,8,5,71
1198,17,7,10,58
1199,18,8,8,62
1200,11,10,13,43
1201,14,11,9,53
1202,18,6,10,60
1203,8,9,17,33
1204,18,4,12,58
1205,16,10,8,58
1206,16,6,12,54
1207,16,9,9,57
1208,15,7,12,52
1209,16,7,11,55
1210,8,14,12,38
1211,14,9,11,51
1212,13,11,10,50
1213,16,7,11,55
1214,17,6,11,57
1215,16,6,12,54
1216,12,5,17,41
1217,18,4,12,58
1218,17,9,8,60
1219,16,4,14,52
1220,14,11,9,53
1221,15,9,10,54
1222,14,8,12,50
1223,16,5,13,53
1224,18,5,11,59
1225,18,7,9,61
1226,22,7,5,73
1227,18,4,12,58
1228,19,5,10,62
1229,22,7,5,73
1230,7,9,18,30
1231,15,8,11,53
1232,14,11,9,53
1233,19,9,6,66
1234,15,9,10,54
1235,14,5,15,47
1236,18,7,9,61
1237,15,8,11,53
1238,18,6,10,60
1239,16,10,8,58
1240,15,10,9,55
1241,16,9,9,57
1242,18,10,6,64
1243,20,7,7,67
1244,18,6,10,60
1245,18,6,10,60
1246,17,7,10,58
1247,17,3,14,54
1248,14,7,13,49
1249,14,12,8,54
1250,20,8,6,68
1251,18,10,6,64
1252,18,3,13,57
1253,19,2,13,59
1254,13,8,13,47
1255,10,9,15,39
1256,21,5,8,68
1257,17,7,10,58
1258,19,4,11,61
1259,16,4,14,52
1260,20,5,9,65
1261,20,7,7,67
1262,13,8,13,47
1263,19,8,7,65
1264,16,6,12,54
1265,20,7,7,67
1266,15,5,14,50
1267,14,5,15,47
1268,20,8,6,68
1269,15,7,12,52
1270,16,8,10,56
1271,19,8,7,65
1272,17,8,9,59
1273,14,7,13,49
1274,18,5,11,59
1275,23,2,9,71
1276,14,7,13,49
1277,18,4,12,58
1278,21,7,6,70
1279,16,8,10,56
1280,15,6,13,51
1281,18,6,10,60
1282,18,8,8,62
1283,17,4,13,55
1284,14,12,8,54
1285,15,10,9,55
1286,14,7,13,49
1287,12,7,15,43
1288,16,5,13,53
1289,15,6,13,51
1290,15,6,13,51
1291,11,12,11,45
1292,16,9,9,57
1293,15,9,10,54
1294,17,9,8,60
1295,14,7,13,49
1296,12,12,10,48
1297,14,5,15,47
1298,11,9,14,42
1299,16,9,9,57
1300,17,9,8,60
1301,17,5,12,56
1302,17,5,12,56
1303,16,10,8,58
1304,15,7,12,52
1305,18,8,8,62
1306,13,12,9,51
1307,13,9,12,48
1308,14,7,13,49
1309,17,9,8,60
1310,15,10,9,55
1311,17,3,14,54
1312,20,4,10,64
1313,19,4,11,61
1314,17,3,14,54
1315,17,7,10,58
1316,20,6,8,66
1317,12,9,13,45
1318,21,4,9,67
1319,15,5,14,50
1320,11,12,11,45
1321,14,7,13,49
1322,15,4,15,49
1323,12,16,6,52
1324,13,8,13,47
1325,15,8,11,53
1326,13,9,12,48
1327,15,6,13,51
1328,17,7,10,58
1329,18,5,11,59
1330,10,14,10,44
1331,19,3,12,60
1332,13,8,13,47
1333,16,6,12,54
1334,14,10,10,52
1335,18,6,10,60
1336,16,8,10,56
1337,15,9,10,54
1338,17,7,10,58
1339,12,7,15,43
1340,18,6,10,60
1341,18,9,7,63
1342,13,9,12,48
1343,18,8,8,62
1344,12,9,13,45
1345,15,5,14,50
1346,12,7,15,43
1347,19,5,10,62
1348,15,6,13,51
1349,11,8,15,41
1350,17,6,11,57
1351,13,10,11,49
1352,18,7,9,61
1353,16,6,12,54
1354,15,2,17,47
1355,13,13,8,52
1356,19,8,7,65
1357,14,4,16,46
1358,15,9,10,54
